seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700098;3;2;71;bilanciata;5;4;9;12;1;11;4;24;7;8;0;4;0;0;1;1
700099;1;1;94;bilanciata;5;4;10;14;1;30;0;23;11;4;5;0;6;0;1;6
700099;2;0;88;verticale;5;4;8;6;4;29;0;30;6;0;0;4;9;0;2;6
700099;3;2;87;obiettivi;5;4;10;12;1;8;5;32;4;8;9;4;4;0;3;4
700100;1;0;107;bilanciata;4;4;9;11;7;41;0;17;10;5;3;0;13;0;2;8
700100;2;2;96;rendita;5;4;10;2;1;47;0;27;8;5;0;4;2;0;4;7
700100;3;1;78;obiettivi;5;3;9;17;1;20;5;10;5;10;6;4;0;0;2;2
700101;1;0;117;obiettivi;7;4;12;17;0;19;4;38;12;13;9;5;0;0;2;2
700101;2;1;97;rendita;4;3;11;5;1;40;0;22;11;2;0;4;12;0;2;7
700101;3;2;94;lampo;7;4;12;26;0;17;4;19;9;11;5;0;3;0;3;5
700102;1;1;83;lampo;5;3;14;21;0;27;0;16;14;5;0;0;0;0;1;5
700102;2;0;71;rendita;3;3;7;4;1;30;0;23;6;2;5;0;0;0;3;4
700102;3;2;60;scavo;3;2;8;6;0;32;0;8;10;0;0;4;0;0;1;1
700103;1;2;100;verticale;7;5;9;10;1;10;4;36;12;3;14;4;6;0;2;2
700103;2;0;93;lampo;3;3;13;17;0;44;0;13;4;7;0;0;8;0;1;4
700103;3;1;49;scavo;2;2;8;12;0;20;0;7;2;4;0;0;4;0;3;6
700104;1;2;95;bilanciata;3;4;6;10;1;22;4;43;4;4;7;0;0;0;2;4
700104;2;0;92;scavo;6;5;11;14;0;22;0;31;15;9;0;0;1;0;1;4
700104;3;1;68;verticale;5;3;11;11;2;18;4;17;4;6;3;0;3;0;1;0
700105;1;1;94;bilanciata;5;4;8;16;1;24;5;22;9;5;5;0;7;0;2;6
700105;2;0;91;verticale;5;4;8;6;4;44;0;23;10;0;0;4;0;0;2;5
700105;3;2;54;obiettivi;3;4;9;6;0;8;4;17;6;7;3;0;3;0;2;3
700106;1;2;83;rendita;4;3;8;5;1;37;0;11;4;16;0;4;5;0;4;7
700106;2;0;79;bilanciata;5;4;7;9;2;15;0;26;6;7;9;5;0;0;1;3
700106;3;1;59;obiettivi;3;3;8;5;3;21;5;15;2;0;8;0;0;0;2;7
700107;1;0;123;obiettivi;7;4;11;15;0;29;0;43;17;4;4;4;7;0;0;3
700107;2;1;77;rendita;4;4;8;3;2;39;0;26;5;2;0;0;0;0;3;3
700107;3;2;68;lampo;5;4;10;23;0;0;4;21;9;7;0;4;0;0;0;0
700108;1;2;99;scavo;7;4;11;17;4;18;4;21;10;13;0;4;8;0;2;8
700108;2;0;94;rendita;3;4;7;4;0;37;0;27;11;5;0;0;10;0;6;8
700108;3;1;89;lampo;7;4;13;22;0;18;0;24;9;14;0;0;2;0;0;4
700109;1;2;112;verticale;6;4;9;16;2;13;8;39;7;12;9;0;6;0;2;3
700109;2;1;94;scavo;5;4;11;9;1;21;0;32;15;3;5;0;8;0;2;5
700109;3;0;72;lampo;3;2;10;14;3;22;0;9;10;5;0;5;4;0;1;3
700110;1;2;87;bilanciata;5;4;8;11;1;24;0;31;5;6;7;0;2;0;2;4
700110;2;0;87;scavo;6;4;10;6;2;27;0;23;12;5;0;5;7;0;2;4
700110;3;1;72;verticale;6;4;8;6;0;20;0;24;9;8;0;5;0;0;0;0
700111;1;1;102;bilanciata;4;5;8;6;5;34;4;27;11;0;2;4;9;0;5;7
700111;2;0;85;verticale;6;5;8;9;2;23;0;21;10;4;4;4;8;0;1;8
700111;3;2;76;obiettivi;4;5;8;13;3;17;0;30;6;5;2;0;0;0;2;7
700112;1;2;117;rendita;7;3;12;13;2;29;0;40;16;2;5;4;6;0;1;9
700112;2;1;82;obiettivi;4;3;10;14;0;34;4;12;4;11;3;0;0;0;3;4
700112;3;0;55;bilanciata;1;1;5;2;6;30;0;4;4;4;3;0;2;0;6;10
700113;1;0;130;obiettivi;5;5;10;14;3;54;5;28;12;8;0;4;2;0;2;7
700113;2;1;87;rendita;4;4;10;6;7;39;0;24;4;0;3;4;0;0;5;7
700113;3;2;65;lampo;9;5;12;20;1;0;0;23;12;9;0;0;0;0;0;0
700114;1;0;101;rendita;3;4;12;6;2;49;0;31;4;3;0;4;2;0;1;5
700114;2;1;73;lampo;6;5;10;23;0;12;0;20;6;7;0;4;1;0;3;5
700114;3;2;59;scavo;5;4;11;13;0;3;4;14;8;6;0;4;7;0;1;0
700115;1;1;116;scavo;6;5;11;13;0;39;9;37;8;0;3;4;3;0;1;4
700115;2;2;110;verticale;7;5;11;10;0;21;0;45;11;10;5;4;4;0;3;4
700115;3;0;76;lampo;6;3;12;21;0;9;0;16;9;17;0;4;0;0;0;0
700116;1;2;97;bilanciata;3;3;9;14;1;26;4;22;20;0;4;0;6;0;3;7
700116;2;1;89;verticale;5;4;8;12;2;18;0;25;5;10;14;0;3;0;2;6
700116;3;0;80;scavo;4;2;9;7;1;38;0;13;6;11;0;4;0;0;5;10
700117;1;1;102;bilanciata;5;5;10;9;2;26;0;34;12;2;5;5;7;0;3;6
700117;2;2;95;obiettivi;6;4;10;16;1;24;4;12;16;11;0;4;7;0;0;5
700117;3;0;88;verticale;5;4;8;11;8;34;5;14;7;3;0;0;6;0;3;5
700118;1;1;82;obiettivi;4;3;9;7;2;30;5;19;4;0;7;4;4;0;0;2
700118;2;2;78;rendita;6;5;9;8;2;10;0;26;7;9;12;4;0;0;0;1
700118;3;0;75;bilanciata;4;4;7;6;2;34;0;19;2;6;2;4;0;0;2;1
700119;1;2;112;lampo;4;5;12;27;0;19;4;38;14;9;0;0;1;0;1;1
700119;2;0;86;obiettivi;5;4;10;15;1;20;5;29;11;3;0;0;2;0;2;4
700119;3;1;66;rendita;3;5;7;2;1;28;0;18;5;5;5;0;2;0;1;3
