seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700022;3;1;61;obiettivi;6;4;9;12;0;10;0;14;7;10;8;0;0;0;0;0
700023;1;0;100;obiettivi;7;4;12;12;0;25;9;25;14;5;0;4;6;0;1;2
700023;2;1;83;rendita;4;5;9;7;0;35;0;28;7;4;0;0;2;0;1;2
700023;3;2;70;lampo;7;4;12;19;0;0;0;37;4;5;5;0;0;0;0;2
700024;1;0;120;rendita;3;4;9;8;0;44;5;37;11;3;3;5;4;0;5;8
700024;2;1;90;lampo;5;3;14;30;0;24;0;9;12;13;0;0;2;0;2;7
700024;3;2;64;scavo;4;3;10;7;2;12;0;11;7;10;0;4;11;0;4;10
700025;1;0;88;lampo;4;4;12;20;0;21;0;28;9;4;0;4;2;0;4;6
700025;2;2;81;verticale;7;3;10;8;1;31;0;20;12;9;0;0;0;0;1;3
700025;3;1;69;scavo;7;4;11;11;0;7;0;30;5;14;2;0;0;0;1;3
700026;1;1;87;verticale;7;4;11;10;0;28;0;25;7;13;0;4;0;0;1;3
700026;2;0;80;scavo;7;4;10;8;3;13;0;37;4;3;8;4;0;0;2;3
700026;3;2;69;bilanciata;4;4;9;14;0;3;4;27;4;7;3;4;3;0;0;1
700027;1;1;89;bilanciata;5;5;8;8;4;30;0;26;10;2;0;4;5;0;0;0
700027;2;0;76;verticale;5;4;7;5;2;34;0;29;6;0;0;0;0;0;0;0
700027;3;2;58;obiettivi;5;5;8;11;0;3;0;19;7;11;7;0;0;0;0;0
700028;1;2;115;rendita;5;4;11;11;5;29;0;42;11;7;5;5;0;0;2;7
700028;2;0;104;bilanciata;5;4;9;14;4;27;5;26;12;0;5;5;6;0;4;5
700028;3;1;84;obiettivi;1;4;8;12;1;37;0;18;6;4;0;4;2;0;2;6
700029;1;0;122;obiettivi;3;5;9;8;2;59;4;34;11;4;0;0;0;0;3;12
700029;2;1;100;rendita;6;3;10;4;0;37;5;21;9;9;5;0;10;0;5;9
700029;3;2;48;lampo;4;4;11;21;0;0;0;8;8;5;3;0;3;0;4;3
700030;1;1;128;lampo;7;5;14;29;0;34;4;21;14;14;0;0;12;0;2;5
700030;2;0;90;rendita;3;3;11;5;1;43;0;20;12;0;2;4;3;0;5;9
700030;3;2;81;scavo;7;5;10;14;0;18;4;29;7;6;0;0;3;0;2;5
700031;1;0;74;lampo;6;4;10;15;0;10;0;30;4;10;0;4;1;0;1;2
700031;2;1;74;scavo;5;5;13;11;0;11;0;38;14;0;0;0;0;0;1;2
700031;3;2;60;verticale;5;4;8;10;0;4;0;22;5;2;9;4;4;0;0;0
700032;1;1;96;verticale;8;5;11;14;0;5;4;38;8;13;4;4;6;0;0;0
700032;2;0;91;scavo;5;5;9;7;0;48;4;17;4;7;0;4;0;0;0;0
700032;3;2;45;bilanciata;4;4;6;5;5;4;0;18;7;2;0;0;4;0;0;0
700033;1;2;92;obiettivi;3;2;10;19;6;43;0;12;7;5;0;0;0;0;0;8
700033;2;0;90;verticale;6;4;12;17;1;34;0;17;6;7;0;4;4;0;0;8
700033;3;1;79;bilanciata;3;3;7;5;2;19;4;21;6;4;14;0;4;0;8;7
700034;1;2;79;rendita;5;3;9;8;1;22;4;22;8;5;2;4;3;0;3;4
700034;2;1;65;obiettivi;3;3;10;9;0;22;0;13;10;4;3;4;0;0;0;0
700034;3;0;61;bilanciata;3;3;5;13;1;24;4;9;2;3;3;0;2;0;1;4
700035;1;2;97;lampo;6;4;13;24;0;30;0;20;7;13;0;0;3;0;1;5
700035;2;0;82;obiettivi;4;4;10;11;0;22;0;31;5;7;3;0;3;0;1;3
700035;3;1;74;rendita;5;4;10;3;0;17;9;24;7;5;0;4;5;0;3;3
700036;1;2;104;scavo;3;4;8;7;2;40;4;33;8;2;0;4;4;0;5;9
700036;2;1;89;lampo;5;3;13;27;0;18;0;17;10;15;0;0;2;0;0;4
700036;3;0;84;rendita;5;4;10;5;0;13;0;30;11;11;8;0;6;0;4;7
700037;1;1;114;scavo;5;5;11;12;0;40;4;35;11;7;0;5;0;0;3;6
700037;2;0;80;lampo;7;3;12;20;1;19;0;20;10;10;0;0;0;0;3;6
700037;3;2;69;verticale;6;4;9;8;0;3;4;29;5;6;7;4;3;0;0;1
700038;1;1;120;verticale;8;5;10;19;2;13;4;44;9;8;9;0;12;0;2;6
700038;2;2;100;bilanciata;2;5;8;13;2;26;0;36;14;2;3;4;0;0;4;6
700038;3;0;67;scavo;7;4;12;6;0;17;0;19;8;8;0;5;4;0;0;2
700039;1;1;122;bilanciata;7;5;12;23;0;36;4;24;9;9;5;0;12;0;1;3
700039;2;2;115;obiettivi;6;4;10;14;0;9;0;54;13;10;8;4;3;0;1;3
700039;3;0;64;verticale;7;4;9;8;1;13;5;20;5;2;6;4;0;0;1;0
700040;1;0;77;bilanciata;4;4;7;5;3;32;4;20;4;4;0;5;0;0;1;5
700040;2;2;77;rendita;4;3;10;4;1;23;0;20;13;10;2;0;4;0;2;2
700040;3;1;61;obiettivi;3;3;9;14;2;10;4;10;10;8;3;0;0;0;2;3
700041;1;1;107;rendita;7;4;10;6;1;35;0;38;9;0;7;4;7;0;1;5
700041;2;0;95;obiettivi;5;4;11;11;2;26;5;28;8;5;3;0;7;0;1;4
700041;3;2;82;lampo;1;2;13;26;0;17;0;9;12;9;0;5;4;0;3;4
700042;1;0;106;rendita;6;4;12;9;0;22;8;41;14;6;0;4;2;0;1;3
700042;2;2;58;scavo;5;3;8;9;0;20;0;15;2;8;0;4;0;0;1;4
700042;3;1;54;lampo;5;3;9;15;3;1;0;10;4;11;3;4;3;0;2;2
700043;1;1;87;scavo;3;3;11;5;2;37;4;19;14;4;0;0;2;0;3;3
700043;2;2;64;verticale;6;4;8;8;1;18;0;20;4;4;9;0;0;0;0;0
700043;3;0;54;lampo;5;3;10;19;1;9;0;16;4;5;0;0;0;0;0;3
700044;1;1;130;verticale;9;5;11;11;2;34;4;57;13;3;2;4;0;0;0;3
700044;2;0;81;scavo;6;5;12;8;0;23;0;26;12;7;0;5;0;0;3;4
700044;3;2;79;bilanciata;6;5;10;17;2;13;4;17;10;7;2;0;7;0;1;4
700045;1;1;117;bilanciata;6;5;9;9;0;49;0;28;14;5;3;0;9;0;4;10
700045;2;2;102;obiettivi;3;5;8;12;2;26;4;34;12;5;3;4;0;0;3;8
700045;3;0;67;verticale;6;5;10;11;2;6;0;23;9;7;9;0;0;0;3;2
700046;1;1;98;obiettivi;4;4;8;14;6;27;0;32;7;6;0;5;1;0;1;10
700046;2;2;87;rendita;5;3;9;10;0;32;5;23;7;3;7;0;0;0;6;8
700046;3;0;86;bilanciata;4;4;10;9;0;20;5;21;9;13;2;5;2;0;4;5
700047;1;0;97;obiettivi;4;4;10;13;5;17;4;29;11;6;4;4;4;0;3;7
700047;2;2;91;lampo;4;4;9;19;0;25;0;24;2;10;0;0;11;0;3;7
700047;3;1;83;rendita;6;3;11;3;0;20;5;19;17;5;7;4;3;0;1;3
700048;1;0;131;rendita;7;5;13;9;0;42;5;50;14;4;0;4;3;0;5;8
700048;2;2;99;scavo;7;5;10;13;2;25;4;36;9;5;5;0;0;0;1;6
700048;3;1;92;lampo;5;4;13;27;1;20;0;13;14;15;0;0;2;0;2;8
700049;1;2;88;verticale;5;4;9;11;2;27;0;28;6;10;0;0;4;0;2;4
